Index;Date;Durée;Distance (km);Allure (min/km);Best Km;FC (bpm avg);Catégorie
1;07/01/2024;00:41:00;4.59;00:09:04;00:08:04;161;Medium
2;10/01/2024;00:58:00;7.49;00:07:47;00:06:49;161;Long
3;13/01/2024;00:49:00;5.76;00:08:07;00:07:45;161;Medium
4;16/01/2024;00:51:00;7.11;00:07:18;00:07:04;171;Medium
5;23/01/2024;01:21:00;11;00:07:26;00:06:58;167;Long
6;25/01/2024;00:38:00;5.45;00:07:02;00:06:46;170;Medium
7;01/02/2024;00:48:00;6.65;00:07:21;00:06:49;169;Medium
8;14/02/2024;00:57:00;7.99;00:07:11;00:06:19;171;Long
9;18/02/2024;01:00:00;8.55;00:07:05;00:06:58;162;Long
10;22/02/2024;00:34:00;4.67;00:07:25;00:06:52;166;Medium
11;27/02/2024;00:35:57;5.23;00:06:52;00:06:46;167;Medium
12;05/03/2024;00:39:29;5.59;00:07:03;00:06:54;169;Medium
13;07/03/2024;01:12:11;10.07;00:07:10;00:06:34;170;Long
14;13/03/2024;01:36:43;13.39;00:07:13;00:06:39;166;Long
15;15/03/2024;00:30:31;3.79;00:08:03;00:07:23;147;Short
16;20/03/2024;00:54:57;7.69;00:07:09;00:06:38;171;Long
17;23/03/2024;00:30:35;4.27;00:07:09;00:06:58;163;Short
18;24/03/2024;02:04:49;14.52;00:07:36;00:06:04;178;Long
19;29/03/2024;00:36:24;5.35;00:06:48;00:06:33;166;Medium
20;03/04/2024;00:39:41;5.46;00:06:46;00:06:38;166;Medium
21;07/04/2024;01:09:14;10.1;00:06:51;00:06:32;166;Long
22;13/04/2024;01:00:38;8.93;00:06:47;00:06:10;174;Long
23;25/04/2024;00:37:35;6.04;00:06:13;00:06:02;182;Medium
24;01/05/2024;01:11:18;10.26;00:06:57;00:06:12;175;Long
25;16/05/2024;00:30:00;4.52;00:06:39;00:06:21;172;Short
26;17/05/2024;00:14:58;2;00:07:24;00:07:19;156;Short
27;24/05/2024;00:31:27;4.28;00:07:21;00:06:30;166;Medium
28;01/06/2024;00:30:00;4.31;00:06:58;00:06:22;174;Short
29;04/06/2024;00:56:12;8;00:07:01;00:06:10;169;Long
30;11/06/2024;00:47:15;7.03;00:06:43;00:06:26;172;Medium
31;18/06/2024;00:30:14;3.7;00:08:10;00:07:21;156;Short
32;23/06/2024;00:54:43;8.64;00:06:20;00:06:05;182;Long
33;18/08/2024;00:30:32;4.43;00:06:54;00:06:30;177;Short
34;20/09/2024;01:00:00;8.74;00:06:51;00:06:26;175;Long
35;29/09/2024;01:00:00;8.93;00:06:43;00:06:06;166;Long
36;06/10/2024;01:00:52;10.06;00:06:03;00:05:43;185;Long
37;13/10/2024;00:33:05;4.8;00:06:54;00:06:18;164;Medium
38;20/10/2024;01:15:00;10.79;00:06:57;00:06:14;166;Long
39;21/10/2024;00:33:54;5.09;00:06:40;00:06:18;168;Medium
40;26/10/2024;00:39:14;5.9;00:06:39;00:05:52;170;Medium
41;01/11/2024;00:59:07;9.01;00:06:34;00:05:45;170;Long
42;16/11/2024;00:31:20;4.78;00:06:34;00:06:09;167;Medium
43;23/11/2024;02:30:00;21.37;00:07:01;00:06:05;148;Long
44;18/01/2025;01:00:00;9.13;00:06:37;00:05:47;169;Long
45;05/02/2025;00:52:22;7.82;00:06:42;00:06:19;170;Long
46;15/02/2025;00:48:51;7.08;00:06:54;00:06:23;142;Medium
47;23/02/2025;01:06:12;10.05;00:06:35;00:06:06;174;Long
